Name,Ingredients,Level,FoodType,ImageSrc
Classic minestrone,4 rashers of higher-welfare smoked streaky bacon 2 red onions 2 cloves of garlic 2 carrots 2 sticks of celery 1 bulb of fennel ½ a bunch of fresh basil olive oil 125 ml red wine 2 courgettes 300 g savoy cabbage or chard 2 x 400 g tins of quality plum tomatoes 1 x 400 g tin of cannellini beans 800 ml organic chicken or vegetable stock 75 g dried pasta (shells or odd ends) extra virgin olive oil Parmesan cheese,not-too-tricky,vegetables,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Fearne Cotton's Mexican fish tacos,"1 bulb of garlic ½ a red cabbage , (400g) 1 fresh green jalapeño chilli 1 tablespoon red wine vinegar 150 g soured cream or natural yoghurt 1 lime 4 sprigs of fresh flat-leaf parsley 4–8 flour tortillas 1 x 400 g tin of cannellini beans olive oil 4 x 200 g haddock fillets , skin on, scaled, pin-boned, from sustainable sources 1 lemon PINEAPPLE SALSA 1 small fresh pineapple 1 small red onion ½ a bunch of fresh mint , (15g) 2 fresh mixed-colour chillies 2 limes extra virgin olive oil GUACAMOLE ½ a small red onion 2 spring onions 1–2 fresh red chillies 2 ripe tomatoes 3 ripe avocados ½ a bunch of fresh mint , (15g) 1 lime",not-too-tricky,fish,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Baked potato soup,"3 large baking potatoes or leftover baked potatoes 40 g butter 1 onion 1 Parmesan rind , whatever size you have in the fridge, optional 1.5 litres organic chicken or vegetable stock sour cream 1 small bunch of fresh chives",not-too-tricky,vegetables,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
"Parsnip, sage & white bean soup",SOUP 1 onion 2 large parsnips 1 x 420 g tin of cannellini beans 1 sprig of fresh sage olive oil 1 fresh bay leaf 1 organic litre chicken stock CRISPY PARSNIPS 1 parsnip 2 sprigs of fresh sage,not-too-tricky,vegetables,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Healthy chicken Caesar,1 lemon 15 g Parmesan cheese 2 anchovy fillets in oil 4 heaped tablespoons natural yoghurt ½ teaspoon English mustard 1 teaspoon Worcestershire sauce white wine vinegar extra virgin olive oil 1 small red onion ½ a small cauliflower (300g) 1 romaine lettuce olive oil 1 sprig of fresh rosemary 2 x 120 g free-range skinless chicken breasts 1 thick slice of wholemeal bread,not-too-tricky,chicken,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Moroccan-style roast chicken,"2 preserved lemons 1 tablespoon ras el hanout 1 dried chilli 1 x 1.6kg whole free-range chicken olive oil 1 teaspoon rose petals (unsprayed) , optional a few sprigs of fresh coriander",not-too-tricky,chicken,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Five-spice salmon tacos,"4 x 125 g salmon fillets, skin on, from sustainable sources 2-3 teaspoons five spice powder olive oil ½ a bunch of fresh coriander ½ a bunch of fresh mint 150 g plain fat-free yoghurt 1 cucumber 2 shallots 1 fresh red chilli 1 tablespoon white wine vinegar 1 pinch of sugar 4 corn or flour tortillas",not-too-tricky,fish,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Baked sole goujons,"olive oil 450 g lemon sole fillets , skinned, from sustainable sources 50 g plain flour 2 large free-range eggs 1 tablespoons sweet smoked paprika 2 large handfuls breadcrumbs",not-too-tricky,fish,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Stilton & pear gnocchi,1 clove of garlic 1 large pear a few sprigs of fresh flat-leaf parsley 1 knob of unsalted butter 2 tablespoons crème fraîche 50 g stilton 400 g gnocchi,not-too-tricky,vegetables,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Stilton & sprouting broccoli frittata,200 g purple sprouting broccoli extra virgin olive oil ½ a bunch of fresh flat-leaf parsley 6 large free-range eggs 50 g Stilton or other blue cheese Parmesan cheese 1 knob of unsalted butter SALAD 25 g pine nuts 1 lemon,not-too-tricky,eggs,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
